id,question,context,answer
1,Mã chứng khoán của Tập đoàn Hòa Phát là gì?,HPG,Tập đoàn Hòa Phát có mã chứng khoán là HPG 
2,Tập đoàn Hòa Phát được niêm yết trên sàn nào?,HOSE,Tập đoàn Hòa Phát có mã chứng khoán là HPG và niêm yết trên sàn HOSE.
4,Tổng doanh thu của Hòa Phát năm 2023 là bao nhiêu?,120.355 tỷ đồng,"Năm 2023, Hòa Phát ghi nhận 120.355 tỷ đồng doanh thu."
5,Sản lượng xuất khẩu thép của Hòa Phát trong năm 2023 là bao nhiêu?,"Hơn 2,2 triệu tấn","Hơn 2,2 triệu tấn sản phẩm thép đã được xuất khẩu tới trên 30 quốc gia."
6,Trụ sở chính của Tập đoàn Hòa Phát đặt tại đâu?,Hưng Yên,"Địa chỉ trụ sở: KCN Phố Nối A, Xã Giai Phạm, Huyện Yên Mỹ, Tỉnh Hưng Yên, Việt Nam."
7,Chủ tịch Hội đồng Quản trị của Hòa Phát là ai?,"Trần Đình Long,",Chủ tịch HĐQT: Trần Đình Long.
8,Hòa Phát đóng góp bao nhiêu cho ngân sách Nhà nước năm 2023?,Hơn 9.000 tỷ đồng,Tổng nộp Ngân sách Nhà nước trong năm 2023 của Hòa Phát đạt hơn 9.000 tỷ đồng.
9,Tên đầy đủ của Hòa Phát là gì?,Công ty Cổ phần Tập đoàn Hòa Phát,Tên giao dịch: Công ty Cổ phần Tập đoàn Hòa Phát.
10,Hòa Phát cung cấp bao nhiêu quả trứng gà trong năm 2023?,Hơn 300 triệu quả,Sản lượng trứng gà lần đầu vượt 300 triệu quả trong năm 2023.
11,Tháng nào năm 2023 Hòa Phát bắt đầu bán container?,Tháng 8,"Tháng 8/2023, Hòa Phát đưa ra thị trường những sản phẩm container đầu tiên."
12,Tỷ lệ thị phần ống thép của Hòa Phát là bao nhiêu?,"28,27%","Ống thép ghi nhận 684.000 tấn, chiếm 28,27% thị phần bán hàng."
13,Lợi nhuận sau thuế của Hòa Phát năm 2023 là bao nhiêu?,6.800 tỷ đồng,Hòa Phát ghi nhận 6.800 tỷ đồng lợi nhuận sau thuế năm 2023.
14,Hòa Phát giữ vị trí số mấy trong Top 10 doanh nghiệp lớn nhất Việt Nam năm 2023?,Thứ 8,Hòa Phát xếp thứ 8 trong Top 10 doanh nghiệp lớn nhất Việt Nam năm 2023
15,Văn phòng Hà Nội của Hòa Phát nằm ở đường nào?,Nguyễn Du,"Văn phòng Hà Nội: Số 66 Nguyễn Du, Phường Nguyễn Du, Quận Hai Bà Trưng"
16,Hòa Phát hoạt động trong mấy lĩnh vực chính?,5 lĩnh vực,"Hiện nay, Tập đoàn hoạt động trong 05 lĩnh vực: Gang thép, Sản phẩm thép, Nông nghiệp, Bất động sản, Điện máy gia dụng"
17,Trứng gà Hòa Phát dẫn đầu thị phần ở khu vực nào?,Miền Bắc,Trứng gà Hòa Phát dẫn đầu thị phần tại miền Bắc
18,Tổng tài sản của Hòa Phát năm 2023 là bao nhiêu?,187.783 tỷ đồng,"Hết năm 2023, tổng tài sản của Hòa Phát đạt mức 187.783 tỷ đồng"
19,Số lượng cổ phiếu Hòa Phát đang lưu hành là bao nhiêu?,5.814.785.700 cổ phiếu,Số lượng cổ phiếu đang lưu hành: 5.814.785.700 cổ phiếu
20,Giá trị mệnh giá mỗi cổ phiếu Hòa Phát là bao nhiêu đồng?,10.000 đồng,Mệnh giá cổ phiếu: 10.000 đồng/cổ phiếu
21,Công ty mẹ của Tập đoàn Hòa Phát là công ty gì?,Công ty Cổ phần Tập đoàn Hòa Phát,Tập đoàn tái cấu trúc theo mô hình Công ty mẹ là Công ty Cổ phần Tập đoàn Hòa Phát
22,Tổng công suất thép thô của Hòa Phát là bao nhiêu?,"8,5 triệu tấn/năm","Tổng công suất thép thô của Hòa Phát là 8,5 triệu tấn/năm"
23,Website chính thức của Hòa Phát là gì?,www.hoaphat.com.vn,"Website: www.hoaphat.com.vn,"
24,Văn phòng Hòa Phát tại TP.HCM nằm trên đường nào?,"Thành phố Hồ Chí Minh,Võ Văn Kiệt",Chi nhánh TP Hồ Chí Minh: Số 22 Võ Văn Kiệt
25,Năm nào Hòa Phát bắt đầu niêm yết cổ phiếu?,2007,Ngày bắt đầu niêm yết: 15/11/2007
26,Tỷ lệ lợi nhuận sau thuế trên doanh thu thuần năm 2023 là bao nhiêu?,"5,7%","Tỷ suất Lợi nhuận sau thuế/Doanh thu thuần năm 2023 là 5,7%"
27,"Tháng 8/2022, Hòa Phát kỷ niệm bao nhiêu năm thành lập?",30 năm,Tháng 8/2022: Tập đoàn Hòa Phát kỉ niệm 30 năm hình thành và phát triển
28,Tổng giá trị xuất khẩu năm 2023 của Hòa Phát là bao nhiêu USD?,"1,5 tỷ USD","Doanh thu từ hoạt động xuất khẩu đạt 34.287 tỷ đồng, tương đương 1,5 tỷ USD"
29,Lĩnh vực nào chiếm 90% doanh thu của Hòa Phát?,Thép,Sản xuất thép là lĩnh vực cốt lõi chiếm tỷ trọng 90% doanh thu và lợi nhuận toàn Tập đoàn
